text,label
Hello team I will send the report tomorrow,0
Please review the documentation and share feedback,0
Let us schedule a meeting next week,0
Thank you for your support,0
The project deadline is next Monday,0
Kindly update the spreadsheet with latest figures,0
Please confirm your availability for the meeting,0
The presentation slides are ready for review,0
Looking forward to your response,0
Please find the attached file for reference,0
The server maintenance is scheduled tonight,0
Let me know if you need any clarification,0
We will finalize the budget tomorrow,0
Please provide your input on the proposal,0
The development team has completed testing,0
We will review this during the next sprint,0
The report has been uploaded to the shared drive,0
Please check the revised document,0
The client approved the changes,0
The update was deployed successfully,0
Kindly share your comments by EOD,0
We appreciate your cooperation,0
The invoice has been processed successfully,0
Please join the meeting at 3 PM,0
The design document is attached for review,0
We have completed phase one of the project,0
Let us know your thoughts on this plan,0
The team will address this issue tomorrow,0
The file has been backed up securely,0
The system upgrade was successful,0

URGENT transfer funds immediately to the bank account,1
Wire money to this account now,1
Click here to claim your reward immediately,1
Confidential transaction must be done now,1
You have won lottery money claim prize now,1
Bank account verification required urgently,1
Your account has been suspended click here to reactivate,1
Verify your bank account immediately to avoid closure,1
You have received a refund click the link now,1
Immediate payment required to prevent service interruption,1
Act now to secure your prize money,1
Your password has expired update it immediately,1
Click here to unlock your reward,1
Transfer money to this account urgently,1
Limited time offer claim your bonus now,1
Confirm your identity by entering your bank details,1
You have been selected for a cash reward,1
Failure to act immediately will result in account suspension,1
Provide your login credentials to verify your account,1
Urgent invoice attached process payment immediately,1
Security alert verify your account information now,1
Your account will be closed unless you act now,1
Update your payment details immediately,1
Click the secure link to confirm your account,1
Unauthorized login detected verify immediately,1
You must transfer the funds within 24 hours,1
Your account is under investigation confirm identity,1
Act immediately to avoid penalties,1
Claim your bonus by submitting bank details,1
Confirm transaction by entering OTP here,1
